day,sales
0,7552
1,6391
2,7522
3,1363
4,9033
5,941
6,5746
7,3729
8,2739
9,3903
10,124
11,5238
12,6853
13,6374
14,8266
15,9457
16,7533
17,4490
18,469
19,646
20,7477
21,1494
22,4253
23,1001
24,1440
25,942
26,5302
27,4462
28,7731
29,1226
30,7452
31,3238
32,7510
33,8044
34,436
35,9262
36,7437
37,4161
38,2977
39,194
40,6999
41,4595
42,5370
43,4889
44,2117
45,6072
46,4931
47,3840
48,6672
49,4160
50,4346
51,917
52,743
53,8206
54,4776
55,4435
56,9955
57,5950
58,6191
59,5769
60,8613
61,4758
62,8238
63,4918
64,4447
65,3101
66,2971
67,5228
68,3649
69,7638
70,3055
71,6861
72,7291
73,6508
74,8163
75,7872
76,6521
77,7939
78,4026
79,9367
80,3478
81,2995
82,7382
83,5939
84,3527
85,1387
86,6247
87,5928
88,5217
89,6130
90,592
91,3670
92,7354
93,6118
94,3956
95,9324
96,7407
97,2302
98,5292
99,1239
100,7876
101,2348
102,925
103,8900
104,4721
105,1132
106,6925
107,1273
108,7202
109,6048
110,3560
111,7690
112,9292
113,9963
114,3906
115,3715
116,8323
117,7650
118,6588
119,8834
120,657
121,3245
122,2932
123,4165
124,1606
125,8518
126,4859
127,2910
128,8189
129,4287
130,800
131,8760
132,7920
133,9033
134,8549
135,267
136,7447
137,701
138,2064
139,6301
140,4428
141,3328
142,3568
143,7044
144,3385
145,7427
146,1639
147,6522
148,812
149,4005
150,3585
151,5168
152,6717
153,7218
154,5018
155,5229
156,3974
157,7918
158,1877
159,3497
160,5545
161,813
162,2333
163,4325
164,4733
165,2178
166,5983
167,9908
168,9027
169,3800
170,4823
171,2907
172,4526
173,3104
174,2891
175,4506
176,6413
177,626
178,5108
179,3515
180,7636
181,4294
182,1994
183,8
184,6383
185,2716
186,1795
187,8993
188,7974
189,4085
190,1009
191,6747
192,9655
193,2710
194,744
195,6325
196,5741
197,1782
198,8886
199,4460
200,1026
201,1626
202,9102
203,4552
204,8165
205,4180
206,4285
207,3235
208,1030
209,1944
210,2406
211,8793
212,4442
213,2074
214,1623
215,1733
216,1586
217,1228
218,2108
219,9519
220,4260
221,3932
222,1340
223,1292
224,3999
225,1980
226,1619
227,3351
228,8456
229,6510
230,3259
231,9263
232,3888
233,5906
234,5079
235,4224
236,6324
237,9348
238,1796
239,4250
240,8267
241,6431
242,806
243,7772
244,6328
245,9088
246,2306
247,8664
248,2166
249,4104
250,4157
251,6282
252,9240
253,7242
254,2851
255,1815
256,2480
257,3604
258,592
259,1547
260,444
261,162
262,4516
263,2347
264,273
265,3576
266,5496
267,1739
268,6900
269,7893
270,5117
271,736
